episode,total_reward
447,-20.799259487610428
448,-32.59778013476612
449,-22.778167188959962
450,-31.412422979289115
451,-22.532771044484605
452,-16.187818051314395
453,-25.59797437652595
454,-28.250536482526137
455,-16.40186646219119
456,-20.181004469474345
457,-23.640505499889343
458,-22.19150520072985
459,-13.713665464672571
460,-35.46269493848427
461,-19.596283549087026
462,-20.234624769888462
463,-29.24091464148643
464,-17.576721325003234
465,-30.245167906293357
466,-24.441994725530776
467,-25.845462088502416
468,-24.905388205799866
469,-12.679530724730975
470,-14.101641785714577
471,-16.526334173621862
472,-17.792404708967826
473,-27.280497980022268
474,-26.891508102624982
475,-12.802513067373333
476,-22.710742024885278
477,-29.566313562156676
478,-22.125751742183326
479,-33.70633190991304
480,-32.45642854440784
481,-31.975856113914332
482,-20.89965830946428
483,-34.60181442481419
484,-28.760366876278848
485,-28.58849801755953
486,-16.83268379095548
487,-22.188635232335052
488,-13.31458749854665
489,-25.810123115610416
490,-22.25605138340304
491,-33.51654324433987
492,-19.974234916470543
493,-19.201485753489795
494,-33.75117488824436
495,-25.735268449278557
496,-15.586983480711314
497,-22.562810005815088
498,-13.549319494299564
499,-32.41505416379421
500,-20.719191686936085
501,-14.967318603463585
502,-27.461117039636243
503,-24.478687322982108
504,-30.23339615663259
505,-25.008411649195622
506,-19.49029636254557
507,-15.889157896733591
508,-27.484361501679974
509,-17.74756401912342
510,-22.20042437522597
511,-23.250320672440985
512,-24.118837900161758
513,-14.310587379809391
514,-17.55734922511435
515,-13.475981279296512
516,-20.183076350306056
517,-30.311904496306752
518,-15.443800270018869
519,-25.419270628245037
520,-33.13900554860982
521,-13.523765602853132
522,-19.42169238685282
523,-22.546168769385794
524,-12.670660821552902
525,-26.252001011316544
526,-20.080958367894606
527,-17.75496464841749
528,-30.375525181965052
529,-23.315321888658797
530,-15.334674257353765
531,-23.35461769576756
532,-23.282495247394415
533,-21.765978048840108
534,-23.23618647062779
535,-24.29772177169124
536,-27.476108237978785
537,-14.593333287514207
538,-16.854109556911474
539,-13.960238240626527
540,-25.123432499983366
541,-24.994497108439234
542,-22.284665037748837
543,-14.419653552479122
544,-27.29180968610941
545,-18.7447864981734
546,-23.356399485642854
547,-26.492505234889258
548,-24.93654552374479
549,-24.5914741562736
550,-24.548757990649925
551,-32.69699197542166
552,-14.305066061267214
553,-21.98010864008304
554,-12.42835283757836
555,-20.596682859079777
556,-12.739645897712151
557,-24.35914408360372
558,-21.340674339620218
559,-32.03016659356629
560,-20.388836646673987
561,-13.569850972353157
562,-32.72306096789079
563,-33.85649823550387
564,-24.76655093395246
565,-17.83644928388841
566,-22.96689589019449
567,-13.468246228451367
568,-17.198358341313586
569,-17.00699606266635
570,-18.204367993194648
571,-24.133483077548703
572,-18.16144485087526
573,-13.978178111263345
574,-13.114465268506352
575,-33.29492812002767
576,-16.491776579942297
577,-13.197215649736664
578,-19.57746336360421
579,-22.102873679401974
580,-27.744565618747114
581,-23.255517881686885
582,-27.34809332828039
583,-15.097821500787868
584,-31.474359673945784
585,-18.827975985958524
586,-21.502254666425017
587,-13.547787863323492
588,-14.203299511348893
589,-23.48882923500912
590,-27.805344331923763
591,-17.19557233002039
592,-19.302557534739492
593,-18.399925441591577
594,-31.83976703084189
595,-33.611187106740495
596,-15.401607225828252
597,-14.874785484641016
598,-14.78733281820167
599,-34.47345640640889
600,-19.21948650494878
601,-33.65458528598463
602,-12.67595206943689
603,-33.69081281004301
604,-14.350762305293532
605,-32.18665764159832
606,-24.611371251054294
607,-24.07856338443802
608,-13.288518858785249
609,-22.250406109446242
610,-22.674278623388776
611,-19.804929407666776
612,-26.76062163279998
613,-29.935907343268934
614,-24.846430942920716
615,-20.37990455921534
616,-24.809780200602763
617,-27.907854537144438
618,-17.023695678889297
619,-34.36348758773103
620,-27.142670617531717
621,-26.749058680108007
622,-24.414747099361605
623,-16.112648529195653
624,-30.87246240715868
625,-13.420411692452475
626,-19.5729941728041
627,-25.57181161160655
628,-27.786704311535328
629,-32.160865842954045
630,-28.20870609213702
631,-32.072776195083215
632,-21.844936428800857
633,-23.96285084396478
634,-18.501986283359983
635,-12.648493521920502
636,-34.284766069870564
637,-35.34454177312619
638,-14.560660979146906
639,-23.91357598960503
640,-30.148764509816747
641,-13.595469507024832
642,-15.037810714917669
643,-16.23832265820699
644,-27.60508908578353
645,-14.593404226541459
646,-19.551266326118483
647,-25.181283310582213
648,-32.35816982168752
649,-31.07999900675328
650,-15.240020154197648
651,-30.884294617115962
652,-19.0708230388365
653,-28.55938454452633
654,-17.253200471707366
655,-34.260463878748844
656,-17.417663761869843
657,-22.450976861800793
658,-18.741173783621946
659,-16.668736391099042
660,-23.92193146708249
661,-18.84867303344016
662,-29.270509658450074
663,-17.684678457256652
664,-20.351386278942158
665,-26.658898325628627
666,-20.823875835051886
667,-20.677850852149827
668,-14.187802492896711
669,-25.14891425828086
670,-24.582758587740223
671,-20.837534408510876
672,-25.276464559645852
673,-14.179649034437851
674,-23.2319617021068
675,-25.128253390208542
676,-18.336680898620934
677,-18.44662846572043
678,-14.505660026239424
679,-15.570426509259946
680,-14.126805316501578
681,-22.161927278730374
682,-22.53676875587343
683,-27.26138821524817
684,-22.78046574909351
685,-12.987697579474222
686,-23.92308456167215
687,-18.192079545897318
688,-27.46111813249312
689,-30.827699315521745
690,-30.45972273415628
691,-17.176665953900017
692,-27.417027876606017
693,-14.615688178721875
694,-32.90537935905163
695,-23.06804110062574
696,-12.39556269472968
697,-13.024106060304295
698,-26.72270851733285
699,-31.201631250821908
700,-21.134841143106783
701,-15.297166730677965
702,-20.082535329876055
703,-23.94644837600137
704,-26.57812015130105
705,-25.363281757545
706,-20.510038148817838
707,-26.818793962175967
708,-22.710738097474263
709,-28.526705139278818
710,-13.106412170639757
711,-12.503888018698447
712,-21.61376037756707
713,-14.942179505613778
714,-26.89638793059049
715,-25.101674885431066
716,-23.632795266361107
717,-28.37368028074166
718,-17.375176395147207
719,-24.640641342835174
720,-26.152479036530334
721,-34.04373948091515
722,-15.77883223043493
723,-29.978245176929285
724,-21.514538732585525
725,-26.124047817436658
726,-16.930148153281287
727,-24.323820704295358
728,-16.867231654918488
729,-26.039159050168017
730,-28.195409587705782
731,-17.093766512036666
732,-33.03026667725914
